"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 17:58:22 GMT 2021","Fri Aug 13 17:58:32 GMT 2021","10013","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"passed","Fri Aug 13 17:58:00 GMT 2021","Fri Aug 13 17:58:07 GMT 2021","6966","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_a",""
"passed","Fri Aug 13 17:58:47 GMT 2021","Fri Aug 13 17:58:51 GMT 2021","3769","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
"passed","Fri Aug 13 17:57:46 GMT 2021","Fri Aug 13 17:57:47 GMT 2021","1354","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"passed","Fri Aug 13 17:57:29 GMT 2021","Fri Aug 13 17:57:31 GMT 2021","2423","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_registration_rossz",""
"passed","Fri Aug 13 17:58:52 GMT 2021","Fri Aug 13 17:58:58 GMT 2021","5665","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"passed","Fri Aug 13 17:58:08 GMT 2021","Fri Aug 13 17:58:21 GMT 2021","12487","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"passed","Fri Aug 13 17:57:34 GMT 2021","Fri Aug 13 17:57:38 GMT 2021","4226","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
"passed","Fri Aug 13 17:57:50 GMT 2021","Fri Aug 13 17:57:51 GMT 2021","1334","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"passed","Fri Aug 13 17:57:40 GMT 2021","Fri Aug 13 17:57:43 GMT 2021","2954","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_test_reg_jo",""
"passed","Fri Aug 13 17:58:35 GMT 2021","Fri Aug 13 17:58:45 GMT 2021","10877","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"passed","Fri Aug 13 17:57:53 GMT 2021","Fri Aug 13 17:57:58 GMT 2021","4739","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
