"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 22:41:43 GMT 2021","Wed Aug 11 22:41:48 GMT 2021","4643","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"passed","Wed Aug 11 22:41:36 GMT 2021","Wed Aug 11 22:41:37 GMT 2021","1343","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"passed","Wed Aug 11 22:41:40 GMT 2021","Wed Aug 11 22:41:41 GMT 2021","1339","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"broken","Wed Aug 11 22:42:24 GMT 2021","Wed Aug 11 22:42:26 GMT 2021","1302","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"passed","Wed Aug 11 22:42:34 GMT 2021","Wed Aug 11 22:42:39 GMT 2021","5283","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"passed","Wed Aug 11 22:41:59 GMT 2021","Wed Aug 11 22:42:10 GMT 2021","11897","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"passed","Wed Aug 11 22:41:19 GMT 2021","Wed Aug 11 22:41:22 GMT 2021","2612","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_registration_rossz",""
"passed","Wed Aug 11 22:42:12 GMT 2021","Wed Aug 11 22:42:22 GMT 2021","9955","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"passed","Wed Aug 11 22:41:24 GMT 2021","Wed Aug 11 22:41:29 GMT 2021","5088","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
"passed","Wed Aug 11 22:41:50 GMT 2021","Wed Aug 11 22:41:57 GMT 2021","6832","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_a",""
"passed","Wed Aug 11 22:41:31 GMT 2021","Wed Aug 11 22:41:33 GMT 2021","2827","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_test_reg_jo",""
"passed","Wed Aug 11 22:42:28 GMT 2021","Wed Aug 11 22:42:32 GMT 2021","3715","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
