"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 14:11:40 GMT 2021","Thu Aug 12 14:11:50 GMT 2021","10206","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"passed","Thu Aug 12 14:10:57 GMT 2021","Thu Aug 12 14:11:01 GMT 2021","4818","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"passed","Thu Aug 12 14:11:13 GMT 2021","Thu Aug 12 14:11:25 GMT 2021","11966","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"passed","Thu Aug 12 14:10:54 GMT 2021","Thu Aug 12 14:10:55 GMT 2021","1311","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"passed","Thu Aug 12 14:10:35 GMT 2021","Thu Aug 12 14:10:37 GMT 2021","2619","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_registration_rossz",""
"passed","Thu Aug 12 14:10:50 GMT 2021","Thu Aug 12 14:10:51 GMT 2021","1361","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"passed","Thu Aug 12 14:11:59 GMT 2021","Thu Aug 12 14:12:04 GMT 2021","5358","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"passed","Thu Aug 12 14:11:53 GMT 2021","Thu Aug 12 14:11:56 GMT 2021","3798","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
"passed","Thu Aug 12 14:11:04 GMT 2021","Thu Aug 12 14:11:11 GMT 2021","6866","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_a",""
"passed","Thu Aug 12 14:10:46 GMT 2021","Thu Aug 12 14:10:48 GMT 2021","2677","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_test_reg_jo",""
"passed","Thu Aug 12 14:10:40 GMT 2021","Thu Aug 12 14:10:44 GMT 2021","4596","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
"passed","Thu Aug 12 14:11:27 GMT 2021","Thu Aug 12 14:11:37 GMT 2021","9967","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
