"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 12:13:27 GMT 2021","Thu Aug 12 12:13:30 GMT 2021","3703","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
"passed","Thu Aug 12 12:13:32 GMT 2021","Thu Aug 12 12:13:37 GMT 2021","5009","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"passed","Thu Aug 12 12:12:22 GMT 2021","Thu Aug 12 12:12:24 GMT 2021","2556","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_test_reg_jo",""
"passed","Thu Aug 12 12:12:33 GMT 2021","Thu Aug 12 12:12:38 GMT 2021","4663","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"passed","Thu Aug 12 12:13:15 GMT 2021","Thu Aug 12 12:13:24 GMT 2021","9422","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"passed","Thu Aug 12 12:12:10 GMT 2021","Thu Aug 12 12:12:13 GMT 2021","3054","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_registration_rossz",""
"passed","Thu Aug 12 12:12:15 GMT 2021","Thu Aug 12 12:12:19 GMT 2021","4253","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
"passed","Thu Aug 12 12:13:04 GMT 2021","Thu Aug 12 12:13:14 GMT 2021","9886","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"passed","Thu Aug 12 12:12:50 GMT 2021","Thu Aug 12 12:13:01 GMT 2021","11650","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"passed","Thu Aug 12 12:12:26 GMT 2021","Thu Aug 12 12:12:27 GMT 2021","1342","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"passed","Thu Aug 12 12:12:30 GMT 2021","Thu Aug 12 12:12:31 GMT 2021","1297","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"passed","Thu Aug 12 12:12:40 GMT 2021","Thu Aug 12 12:12:47 GMT 2021","6871","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_a",""
