"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 22:57:09 GMT 2021","Wed Aug 11 22:57:16 GMT 2021","7013","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_a",""
"passed","Wed Aug 11 22:56:57 GMT 2021","Wed Aug 11 22:56:59 GMT 2021","1542","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"passed","Wed Aug 11 22:57:59 GMT 2021","Wed Aug 11 22:58:05 GMT 2021","5813","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"passed","Wed Aug 11 22:56:47 GMT 2021","Wed Aug 11 22:56:52 GMT 2021","4725","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
"passed","Wed Aug 11 22:57:43 GMT 2021","Wed Aug 11 22:57:52 GMT 2021","9258","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"passed","Wed Aug 11 22:56:53 GMT 2021","Wed Aug 11 22:56:56 GMT 2021","2392","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_test_reg_jo",""
"passed","Wed Aug 11 22:57:53 GMT 2021","Wed Aug 11 22:57:57 GMT 2021","3903","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
"passed","Wed Aug 11 22:57:32 GMT 2021","Wed Aug 11 22:57:42 GMT 2021","10082","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"passed","Wed Aug 11 22:57:03 GMT 2021","Wed Aug 11 22:57:08 GMT 2021","4832","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"passed","Wed Aug 11 22:57:18 GMT 2021","Wed Aug 11 22:57:30 GMT 2021","11678","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"passed","Wed Aug 11 22:57:01 GMT 2021","Wed Aug 11 22:57:02 GMT 2021","1545","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"passed","Wed Aug 11 22:56:43 GMT 2021","Wed Aug 11 22:56:46 GMT 2021","2640","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_registration_rossz",""
