"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 15:51:46 GMT 2021","Fri Aug 13 15:51:56 GMT 2021","10033","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"passed","Fri Aug 13 15:51:21 GMT 2021","Fri Aug 13 15:51:28 GMT 2021","6950","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_a",""
"passed","Fri Aug 13 15:52:11 GMT 2021","Fri Aug 13 15:52:15 GMT 2021","3787","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
"passed","Fri Aug 13 15:51:58 GMT 2021","Fri Aug 13 15:52:10 GMT 2021","11506","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"passed","Fri Aug 13 15:51:15 GMT 2021","Fri Aug 13 15:51:20 GMT 2021","4739","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"passed","Fri Aug 13 15:51:11 GMT 2021","Fri Aug 13 15:51:13 GMT 2021","1330","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"passed","Fri Aug 13 15:51:31 GMT 2021","Fri Aug 13 15:51:43 GMT 2021","12713","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"passed","Fri Aug 13 15:51:02 GMT 2021","Fri Aug 13 15:51:05 GMT 2021","2942","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_test_reg_jo",""
"passed","Fri Aug 13 15:51:07 GMT 2021","Fri Aug 13 15:51:09 GMT 2021","1371","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"passed","Fri Aug 13 15:52:16 GMT 2021","Fri Aug 13 15:52:22 GMT 2021","5756","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"passed","Fri Aug 13 15:50:51 GMT 2021","Fri Aug 13 15:50:54 GMT 2021","2685","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_registration_rossz",""
"passed","Fri Aug 13 15:50:55 GMT 2021","Fri Aug 13 15:51:00 GMT 2021","4250","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
