"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 20:03:53 GMT 2021","Fri Aug 13 20:03:54 GMT 2021","1368","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"passed","Fri Aug 13 20:04:00 GMT 2021","Fri Aug 13 20:04:05 GMT 2021","4662","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"passed","Fri Aug 13 20:05:02 GMT 2021","Fri Aug 13 20:05:07 GMT 2021","5419","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"passed","Fri Aug 13 20:03:47 GMT 2021","Fri Aug 13 20:03:50 GMT 2021","3005","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_good_registration",""
"passed","Fri Aug 13 20:04:30 GMT 2021","Fri Aug 13 20:04:42 GMT 2021","12015","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"passed","Fri Aug 13 20:03:34 GMT 2021","Fri Aug 13 20:03:37 GMT 2021","2572","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_bad_mail_registration",""
"passed","Fri Aug 13 20:04:07 GMT 2021","Fri Aug 13 20:04:14 GMT 2021","7058","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_article",""
"passed","Fri Aug 13 20:04:43 GMT 2021","Fri Aug 13 20:04:53 GMT 2021","10005","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"passed","Fri Aug 13 20:03:39 GMT 2021","Fri Aug 13 20:03:45 GMT 2021","5085","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
"passed","Fri Aug 13 20:04:16 GMT 2021","Fri Aug 13 20:04:28 GMT 2021","12123","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"passed","Fri Aug 13 20:03:56 GMT 2021","Fri Aug 13 20:03:58 GMT 2021","1315","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"passed","Fri Aug 13 20:04:56 GMT 2021","Fri Aug 13 20:05:00 GMT 2021","3749","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
