"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 20:46:07 GMT 2021","Fri Aug 13 20:46:12 GMT 2021","4755","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"passed","Fri Aug 13 20:46:04 GMT 2021","Fri Aug 13 20:46:05 GMT 2021","1459","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"passed","Fri Aug 13 20:45:48 GMT 2021","Fri Aug 13 20:45:50 GMT 2021","2524","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_bad_mail_registration",""
"passed","Fri Aug 13 20:45:56 GMT 2021","Fri Aug 13 20:45:58 GMT 2021","2344","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_good_registration",""
"passed","Fri Aug 13 20:46:00 GMT 2021","Fri Aug 13 20:46:02 GMT 2021","1547","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"passed","Fri Aug 13 20:46:23 GMT 2021","Fri Aug 13 20:46:34 GMT 2021","11461","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"passed","Fri Aug 13 20:46:36 GMT 2021","Fri Aug 13 20:46:48 GMT 2021","11980","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"passed","Fri Aug 13 20:46:50 GMT 2021","Fri Aug 13 20:46:59 GMT 2021","8885","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"passed","Fri Aug 13 20:46:14 GMT 2021","Fri Aug 13 20:46:21 GMT 2021","6895","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_article",""
"passed","Fri Aug 13 20:47:05 GMT 2021","Fri Aug 13 20:47:10 GMT 2021","4912","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"passed","Fri Aug 13 20:47:00 GMT 2021","Fri Aug 13 20:47:04 GMT 2021","3852","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
"passed","Fri Aug 13 20:45:51 GMT 2021","Fri Aug 13 20:45:55 GMT 2021","4214","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
