"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 21:10:56 GMT 2021","Fri Aug 13 21:11:03 GMT 2021","6985","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_article",""
"passed","Fri Aug 13 21:11:36 GMT 2021","Fri Aug 13 21:11:47 GMT 2021","11200","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"passed","Fri Aug 13 21:10:45 GMT 2021","Fri Aug 13 21:10:46 GMT 2021","1325","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"passed","Fri Aug 13 21:11:04 GMT 2021","Fri Aug 13 21:11:20 GMT 2021","15826","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"passed","Fri Aug 13 21:11:21 GMT 2021","Fri Aug 13 21:11:33 GMT 2021","12018","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"passed","Fri Aug 13 21:10:26 GMT 2021","Fri Aug 13 21:10:28 GMT 2021","2399","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_bad_mail_registration",""
"passed","Fri Aug 13 21:10:30 GMT 2021","Fri Aug 13 21:10:35 GMT 2021","5211","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
"passed","Fri Aug 13 21:10:49 GMT 2021","Fri Aug 13 21:10:53 GMT 2021","4762","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"passed","Fri Aug 13 21:10:42 GMT 2021","Fri Aug 13 21:10:43 GMT 2021","1392","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"passed","Fri Aug 13 21:11:49 GMT 2021","Fri Aug 13 21:11:52 GMT 2021","3803","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
"passed","Fri Aug 13 21:10:37 GMT 2021","Fri Aug 13 21:10:40 GMT 2021","2863","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_good_registration",""
"passed","Fri Aug 13 21:11:55 GMT 2021","Fri Aug 13 21:12:01 GMT 2021","5633","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
