"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 21:27:28 GMT 2021","Wed Aug 11 21:27:28 GMT 2021","0","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"broken","Wed Aug 11 21:27:19 GMT 2021","Wed Aug 11 21:27:19 GMT 2021","0","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"broken","Wed Aug 11 21:27:22 GMT 2021","Wed Aug 11 21:27:22 GMT 2021","0","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"broken","Wed Aug 11 21:27:24 GMT 2021","Wed Aug 11 21:27:24 GMT 2021","0","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"broken","Wed Aug 11 21:27:21 GMT 2021","Wed Aug 11 21:27:21 GMT 2021","0","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_a",""
"broken","Wed Aug 11 21:27:26 GMT 2021","Wed Aug 11 21:27:26 GMT 2021","0","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
"broken","Wed Aug 11 21:27:04 GMT 2021","Wed Aug 11 21:27:04 GMT 2021","0","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_registration_rossz",""
"broken","Wed Aug 11 21:27:14 GMT 2021","Wed Aug 11 21:27:14 GMT 2021","0","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
"broken","Wed Aug 11 21:27:18 GMT 2021","Wed Aug 11 21:27:18 GMT 2021","0","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"broken","Wed Aug 11 21:27:17 GMT 2021","Wed Aug 11 21:27:17 GMT 2021","0","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"broken","Wed Aug 11 21:27:15 GMT 2021","Wed Aug 11 21:27:15 GMT 2021","0","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_test_reg_jo",""
"broken","Wed Aug 11 21:27:25 GMT 2021","Wed Aug 11 21:27:25 GMT 2021","0","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
