"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 12:23:06 GMT 2021","Thu Aug 12 12:23:07 GMT 2021","1658","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"passed","Thu Aug 12 12:24:12 GMT 2021","Thu Aug 12 12:24:18 GMT 2021","6269","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"passed","Thu Aug 12 12:22:50 GMT 2021","Thu Aug 12 12:22:53 GMT 2021","2808","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_registration_rossz",""
"passed","Thu Aug 12 12:22:55 GMT 2021","Thu Aug 12 12:23:00 GMT 2021","4751","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
"passed","Thu Aug 12 12:23:19 GMT 2021","Thu Aug 12 12:23:26 GMT 2021","7294","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_a",""
"passed","Thu Aug 12 12:24:07 GMT 2021","Thu Aug 12 12:24:11 GMT 2021","4045","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
"passed","Thu Aug 12 12:23:13 GMT 2021","Thu Aug 12 12:23:18 GMT 2021","5008","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"passed","Thu Aug 12 12:23:09 GMT 2021","Thu Aug 12 12:23:11 GMT 2021","1642","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"passed","Thu Aug 12 12:23:42 GMT 2021","Thu Aug 12 12:23:53 GMT 2021","10319","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"passed","Thu Aug 12 12:23:55 GMT 2021","Thu Aug 12 12:24:05 GMT 2021","9881","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"passed","Thu Aug 12 12:23:01 GMT 2021","Thu Aug 12 12:23:04 GMT 2021","2761","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_test_reg_jo",""
"passed","Thu Aug 12 12:23:28 GMT 2021","Thu Aug 12 12:23:40 GMT 2021","12186","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
