"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 19:08:23 GMT 2021","Fri Aug 13 19:08:24 GMT 2021","1363","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"passed","Fri Aug 13 19:08:42 GMT 2021","Fri Aug 13 19:08:55 GMT 2021","12613","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"passed","Fri Aug 13 19:09:22 GMT 2021","Fri Aug 13 19:09:25 GMT 2021","3810","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
"passed","Fri Aug 13 19:09:08 GMT 2021","Fri Aug 13 19:09:19 GMT 2021","11566","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"passed","Fri Aug 13 19:09:28 GMT 2021","Fri Aug 13 19:09:35 GMT 2021","6865","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"passed","Fri Aug 13 19:08:56 GMT 2021","Fri Aug 13 19:09:06 GMT 2021","10059","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"passed","Fri Aug 13 19:08:19 GMT 2021","Fri Aug 13 19:08:20 GMT 2021","1397","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"passed","Fri Aug 13 19:08:34 GMT 2021","Fri Aug 13 19:08:41 GMT 2021","6962","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_article",""
"passed","Fri Aug 13 19:08:02 GMT 2021","Fri Aug 13 19:08:04 GMT 2021","2388","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_bad_mail_registration",""
"passed","Fri Aug 13 19:08:26 GMT 2021","Fri Aug 13 19:08:31 GMT 2021","4796","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"passed","Fri Aug 13 19:08:06 GMT 2021","Fri Aug 13 19:08:11 GMT 2021","5149","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
"passed","Fri Aug 13 19:08:13 GMT 2021","Fri Aug 13 19:08:16 GMT 2021","2713","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_good_registration",""
