"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 21:00:12 GMT 2021","Fri Aug 13 21:00:24 GMT 2021","12070","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"passed","Fri Aug 13 21:00:45 GMT 2021","Fri Aug 13 21:00:51 GMT 2021","6277","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"passed","Fri Aug 13 20:59:29 GMT 2021","Fri Aug 13 20:59:32 GMT 2021","2876","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_good_registration",""
"passed","Fri Aug 13 20:59:41 GMT 2021","Fri Aug 13 20:59:46 GMT 2021","4875","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"passed","Fri Aug 13 20:59:38 GMT 2021","Fri Aug 13 20:59:39 GMT 2021","1332","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"passed","Fri Aug 13 21:00:39 GMT 2021","Fri Aug 13 21:00:43 GMT 2021","3815","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
"passed","Fri Aug 13 20:59:19 GMT 2021","Fri Aug 13 20:59:21 GMT 2021","2743","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_bad_mail_registration",""
"passed","Fri Aug 13 20:59:48 GMT 2021","Fri Aug 13 20:59:55 GMT 2021","7052","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_article",""
"passed","Fri Aug 13 21:00:27 GMT 2021","Fri Aug 13 21:00:38 GMT 2021","11164","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"broken","Fri Aug 13 20:59:57 GMT 2021","Fri Aug 13 21:00:10 GMT 2021","12595","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"passed","Fri Aug 13 20:59:23 GMT 2021","Fri Aug 13 20:59:27 GMT 2021","4288","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
"passed","Fri Aug 13 20:59:34 GMT 2021","Fri Aug 13 20:59:35 GMT 2021","1357","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
